mc 	mn 	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord    	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones  	added_tones	root	bass_note
29 	29 	0       	0       	4/4    	5    	1    	V6       	         	g        	VII     	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	0                	5, 2, 1      	           	1   	5
29 	29 	1/4     	1/4     	4/4    	5    	1    	V        	         	g        	VII     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
29 	29 	1/2     	1/2     	4/4    	5    	1    	I        	         	g        	VII     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
30 	30 	0       	0       	4/4    	5    	1    	V        	         	g        	VII     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
30 	30 	1/4     	1/4     	4/4    	5    	1    	I6       	         	g        	VII     	     	I6       	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0      	           	0   	4
30 	30 	1/2     	1/2     	4/4    	5    	1    	V(4)     	         	g        	VII     	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	0                	1, 0, 2      	           	1   	1
30 	30 	3/4     	3/4     	4/4    	5    	1    	V        	         	g        	VII     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
31 	31 	0       	0       	4/4    	5    	1    	I\\      	         	g        	VII     	     	I        	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1      	           	0   	0
31 	31 	3/4     	3/4     	4/4    	5    	1    	I        	         	g        	VII     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
32 	32 	0       	0       	4/4    	5    	1    	V6       	         	g        	VII     	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	0                	5, 2, 1      	           	1   	5
