mc	mn	mc_onset	mn_onset	timesig	staff	voice	label   	alt_label	globalkey	localkey	pedal	chord   	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
27	27	0       	0       	4/4    	5    	1    	V6      	         	F        	IV      	     	V6      	V      	    	6      	       	            	       	         	M         	0                 	0                	5, 2, 1    	           	1   	5
27	27	1/4     	1/4     	4/4    	5    	1    	V       	         	F        	IV      	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
28	28	3/4     	3/4     	4/4    	5    	1    	iii6    	         	F        	IV      	     	iii6    	iii    	    	6      	       	            	       	         	m         	0                 	0                	1, 5, 4    	           	4   	1
28	28	7/8     	7/8     	4/4    	5    	1    	V(64)   	         	F        	IV      	     	V(64)   	V      	    	       	64     	            	       	         	M         	0                 	0                	1, 0, 4    	           	1   	1
29	29	0       	0       	4/4    	5    	1    	V       	         	F        	IV      	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
29	29	1/4     	1/4     	4/4    	5    	1    	V(64)   	         	F        	IV      	     	V(64)   	V      	    	       	64     	            	       	         	M         	0                 	0                	1, 0, 4    	           	1   	1
29	29	1/2     	1/2     	4/4    	5    	1    	V(4)    	         	F        	IV      	     	V(4)    	V      	    	       	4      	            	       	         	M         	0                 	0                	1, 0, 2    	           	1   	1
29	29	3/4     	3/4     	4/4    	5    	1    	V       	         	F        	IV      	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
30	30	0       	0       	4/4    	5    	1    	I\\     	         	F        	IV      	     	I       	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1    	           	0   	0
30	30	1/4     	1/4     	4/4    	5    	1    	I.IV    	         	F        	I       	     	IV      	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0   	           	-1  	-1
31	31	1/4     	1/4     	4/4    	5    	1    	ii6     	         	F        	I       	     	ii6     	ii     	    	6      	       	            	       	         	m         	0                 	0                	-1, 3, 2   	           	2   	-1
31	31	3/4     	3/4     	4/4    	5    	1    	IVM7    	         	F        	I       	     	IVM7    	IV     	M   	7      	       	            	       	         	MM7       	0                 	0                	-1, 3, 0, 4	           	-1  	-1
32	32	0       	0       	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
32	32	1/4     	1/4     	4/4    	5    	1    	V(64)   	         	F        	I       	     	V(64)   	V      	    	       	64     	            	       	         	M         	0                 	0                	1, 0, 4    	           	1   	1
32	32	1/2     	1/2     	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
33	33	0       	0       	4/4    	5    	1    	V6\\    	         	F        	I       	     	V6      	V      	    	6      	       	            	       	\\       	M         	0                 	0                	5, 2, 1    	           	1   	5
33	33	1/4     	1/4     	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
33	33	1/2     	1/2     	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
34	34	0       	0       	4/4    	5    	1    	V6      	         	F        	I       	     	V6      	V      	    	6      	       	            	       	         	M         	0                 	0                	5, 2, 1    	           	1   	5
34	34	1/4     	1/4     	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
34	34	1/2     	1/2     	4/4    	5    	1    	I       	         	F        	I       	     	I       	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1    	           	0   	0
35	35	1/2     	1/2     	4/4    	5    	1    	V       	         	F        	I       	     	V       	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2    	           	1   	1
35	35	3/4     	3/4     	4/4    	5    	1    	V(64)   	         	F        	I       	     	V(64)   	V      	    	       	64     	            	       	         	M         	0                 	0                	1, 0, 4    	           	1   	1
36	36	0       	0       	4/4    	5    	1    	V(4)    	         	F        	I       	     	V(4)    	V      	    	       	4      	            	       	         	M         	0                 	0                	1, 0, 2    	           	1   	1
