mc 	mn 	mc_onset	mn_onset	timesig	staff	voice	label    	globalkey	localkey	pedal	chord    	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
91 	91 	2       	2       	3/1    	4    	1    	IV6      	a        	iv      	     	IV6      	IV     	    	6      	       	            	       	         	M         	1                 	1                	3, 0, -1   	           	-1  	3
92 	92 	0       	0       	3/1    	4    	1    	v6       	a        	iv      	     	v6       	v      	    	6      	       	            	       	         	m         	1                 	1                	-2, 2, 1   	           	1   	-2
92 	92 	1       	1       	3/1    	4    	1    	IV6      	a        	iv      	     	IV6      	IV     	    	6      	       	            	       	         	M         	1                 	1                	3, 0, -1   	           	-1  	3
92 	92 	2       	2       	3/1    	4    	1    	III6     	a        	iv      	     	III6     	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3  	           	-3  	1
93 	93 	0       	0       	3/1    	4    	1    	IV6      	a        	iv      	     	IV6      	IV     	    	6      	       	            	       	         	M         	1                 	1                	3, 0, -1   	           	-1  	3
93 	93 	1       	1       	3/1    	4    	1    	III6     	a        	iv      	     	III6     	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3  	           	-3  	1
93 	93 	2       	2       	3/1    	4    	1    	ii6      	a        	iv      	     	ii6      	ii     	    	6      	       	            	       	         	m         	1                 	1                	-1, 3, 2   	           	2   	-1
94 	94 	0       	0       	3/1    	4    	1    	III6     	a        	iv      	     	III6     	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3  	           	-3  	1
94 	94 	1       	1       	3/1    	4    	1    	ii6      	a        	iv      	     	ii6      	ii     	    	6      	       	            	       	         	m         	1                 	1                	-1, 3, 2   	           	2   	-1
94 	94 	2       	2       	3/1    	4    	1    	i6       	a        	iv      	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0   	           	0   	-3
95 	95 	0       	0       	3/1    	4    	1    	ii6      	a        	iv      	     	ii6      	ii     	    	6      	       	            	       	         	m         	1                 	1                	-1, 3, 2   	           	2   	-1
95 	95 	1       	1       	3/1    	4    	1    	i6       	a        	iv      	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0   	           	0   	-3
95 	95 	2       	2       	3/1    	4    	1    	VII6     	a        	iv      	     	VII6     	VII    	    	6      	       	            	       	         	M         	1                 	1                	2, -1, -2  	           	-2  	2
96 	96 	0       	0       	3/1    	4    	1    	i6       	a        	iv      	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0   	           	0   	-3
96 	96 	1       	1       	3/1    	4    	1    	#viio6   	a        	iv      	     	#viio6   	#vii   	o   	6      	       	            	       	         	o         	1                 	1                	2, -1, 5   	           	5   	2
96 	96 	2       	2       	3/1    	4    	1    	i\\      	a        	iv      	     	i        	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
97 	97 	0       	0       	4/4    	4    	1    	VII.V    	a        	VII     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2    	           	1   	1
98 	98 	0       	0       	4/4    	4    	1    	I        	a        	VII     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1    	           	0   	0
100	100	0       	0       	4/4    	4    	1    	IV       	a        	VII     	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0   	           	-1  	-1
102	102	0       	0       	4/4    	4    	1    	V(64)/vi 	a        	VII     	     	V(64)/vi 	V      	    	       	64     	vi          	       	         	M         	1                 	0                	4, 3, 0    	           	4   	4
103	103	0       	0       	4/4    	4    	1    	V/vi\\   	a        	VII     	     	V/vi     	V      	    	       	       	vi          	       	\\       	M         	1                 	0                	4, 8, 5    	           	4   	4
105	105	0       	0       	4/4    	4    	1    	V6/ii    	a        	VII     	     	V6/ii    	V      	    	6      	       	ii          	       	         	M         	1                 	0                	7, 4, 3    	           	3   	7
106	106	0       	0       	4/4    	4    	1    	ii       	a        	VII     	     	ii       	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3   	           	2   	2
107	107	0       	0       	4/4    	4    	1    	V6\\     	a        	VII     	     	V6       	V      	    	6      	       	            	       	\\       	M         	1                 	0                	5, 2, 1    	           	1   	5
108	108	0       	0       	3/1    	4    	1    	III.ii   	a        	III     	     	ii       	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3   	           	2   	2
108	108	1       	1       	3/1    	4    	1    	vi6      	a        	III     	     	vi6      	vi     	    	6      	       	            	       	         	m         	1                 	0                	0, 4, 3    	           	3   	0
108	108	2       	2       	3/1    	4    	1    	V6       	a        	III     	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	0                	5, 2, 1    	           	1   	5
109	109	0       	0       	3/1    	4    	1    	vi6      	a        	III     	     	vi6      	vi     	    	6      	       	            	       	         	m         	1                 	0                	0, 4, 3    	           	3   	0
109	109	1       	1       	3/1    	4    	1    	V6       	a        	III     	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	0                	5, 2, 1    	           	1   	5
109	109	2       	2       	3/1    	4    	1    	IV6      	a        	III     	     	IV6      	IV     	    	6      	       	            	       	         	M         	1                 	0                	3, 0, -1   	           	-1  	3
110	110	0       	0       	3/1    	4    	1    	iii6     	a        	III     	     	iii6     	iii    	    	6      	       	            	       	         	m         	1                 	0                	1, 5, 4    	           	4   	1
110	110	1       	1       	3/1    	4    	1    	ii6      	a        	III     	     	ii6      	ii     	    	6      	       	            	       	         	m         	1                 	0                	-1, 3, 2   	           	2   	-1
110	110	2       	2       	3/1    	4    	1    	I6       	a        	III     	     	I6       	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0    	           	0   	4
111	111	0       	0       	3/1    	4    	1    	ii6      	a        	III     	     	ii6      	ii     	    	6      	       	            	       	         	m         	1                 	0                	-1, 3, 2   	           	2   	-1
111	111	1       	1       	3/1    	4    	1    	I6       	a        	III     	     	I6       	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0    	           	0   	4
111	111	2       	2       	3/1    	4    	1    	viio6    	a        	III     	     	viio6    	vii    	o   	6      	       	            	       	         	o         	1                 	0                	2, -1, 5   	           	5   	2
112	112	0       	0       	3/1    	4    	1    	I6       	a        	III     	     	I6       	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0    	           	0   	4
112	112	1       	1       	3/1    	4    	1    	V43      	a        	III     	     	V43      	V      	    	43     	       	            	       	         	Mm7       	1                 	0                	2, -1, 1, 5	           	1   	2
112	112	2       	2       	3/1    	4    	1    	I        	a        	III     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1    	           	0   	0
113	113	0       	0       	3/1    	4    	1    	viio6    	a        	III     	     	viio6    	vii    	o   	6      	       	            	       	         	o         	1                 	0                	2, -1, 5   	           	5   	2
113	113	1       	1       	3/1    	4    	1    	IVM43    	a        	III     	     	IVM43    	IV     	M   	43     	       	            	       	         	MM7       	1                 	0                	0, 4, -1, 3	           	-1  	0
113	113	2       	2       	3/1    	4    	1    	viio     	a        	III     	     	viio     	vii    	o   	       	       	            	       	         	o         	1                 	0                	5, 2, -1   	           	5   	5
114	114	0       	0       	3/1    	4    	1    	vi6      	a        	III     	     	vi6      	vi     	    	6      	       	            	       	         	m         	1                 	0                	0, 4, 3    	           	3   	0
114	114	1       	1       	3/1    	4    	1    	iii43    	a        	III     	     	iii43    	iii    	    	43     	       	            	       	         	mm7       	1                 	0                	5, 2, 4, 1 	           	4   	5
114	114	2       	2       	3/1    	4    	1    	vi       	a        	III     	     	vi       	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4    	           	3   	3
115	115	0       	0       	3/1    	4    	1    	V6       	a        	III     	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	0                	5, 2, 1    	           	1   	5
115	115	1       	1       	3/1    	4    	1    	IV6      	a        	III     	     	IV6      	IV     	    	6      	       	            	       	         	M         	1                 	0                	3, 0, -1   	           	-1  	3
115	115	2       	2       	3/1    	4    	1    	V\\      	a        	III     	     	V        	V      	    	       	       	            	       	\\       	M         	1                 	0                	1, 5, 2    	           	1   	1
116	116	0       	0       	4/4    	4    	1    	I        	a        	III     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1    	           	0   	0
116	116	3/4     	3/4     	4/4    	4    	1    	vi6      	a        	III     	     	vi6      	vi     	    	6      	       	            	       	         	m         	1                 	0                	0, 4, 3    	           	3   	0
117	117	0       	0       	4/4    	4    	1    	IVM65    	a        	III     	     	IVM65    	IV     	M   	65     	       	            	       	         	MM7       	1                 	0                	3, 0, 4, -1	           	-1  	3
117	117	1/2     	1/2     	4/4    	4    	1    	bVII     	a        	III     	     	bVII     	bVII   	    	       	       	            	       	         	M         	1                 	0                	-2, 2, -1  	           	-2  	-2
117	117	7/8     	7/8     	4/4    	4    	1    	v6       	a        	III     	     	v6       	v      	    	6      	       	            	       	         	m         	1                 	0                	-2, 2, 1   	           	1   	-2
118	118	0       	0       	4/4    	4    	1    	iii65    	a        	III     	     	iii65    	iii    	    	65     	       	            	       	         	mm7       	1                 	0                	1, 5, 2, 4 	           	4   	1
118	118	1/2     	1/2     	4/4    	4    	1    	V/ii     	a        	III     	     	V/ii     	V      	    	       	       	ii          	       	         	M         	1                 	0                	3, 7, 4    	           	3   	3
118	118	3/4     	3/4     	4/4    	4    	1    	V2/ii    	a        	III     	     	V2/ii    	V      	    	2      	       	ii          	       	         	Mm7       	1                 	0                	1, 3, 7, 4 	           	3   	1
119	119	0       	0       	4/4    	4    	1    	V6/V     	a        	III     	     	V6/V     	V      	    	6      	       	V           	       	         	M         	1                 	0                	6, 3, 2    	           	2   	6
119	119	1/2     	1/2     	4/4    	4    	1    	V        	a        	III     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2    	           	1   	1
119	119	3/4     	3/4     	4/4    	4    	1    	iii6     	a        	III     	     	iii6     	iii    	    	6      	       	            	       	         	m         	1                 	0                	1, 5, 4    	           	4   	1
120	120	0       	0       	4/4    	4    	1    	IM65     	a        	III     	     	IM65     	I      	M   	65     	       	            	       	         	MM7       	1                 	0                	4, 1, 5, 0 	           	0   	4
120	120	1/2     	1/2     	4/4    	4    	1    	IV       	a        	III     	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0   	           	-1  	-1
120	120	7/8     	7/8     	4/4    	4    	1    	ii6      	a        	III     	     	ii6      	ii     	    	6      	       	            	       	         	m         	1                 	0                	-1, 3, 2   	           	2   	-1
121	121	0       	0       	4/4    	4    	1    	vii%65   	a        	III     	     	vii%65   	vii    	%   	65     	       	            	       	         	%7        	1                 	0                	2, -1, 3, 5	           	5   	2
121	121	1/2     	1/2     	4/4    	4    	1    	V/vi     	a        	III     	     	V/vi     	V      	    	       	       	vi          	       	         	M         	1                 	0                	4, 8, 5    	           	4   	4
121	121	3/4     	3/4     	4/4    	4    	1    	V2/vi    	a        	III     	     	V2/vi    	V      	    	2      	       	vi          	       	         	Mm7       	1                 	0                	2, 4, 8, 5 	           	4   	2
122	122	0       	0       	4/4    	4    	1    	VI6      	a        	III     	     	VI6      	VI     	    	6      	       	            	       	         	M         	1                 	0                	7, 4, 3    	           	3   	7
122	122	1/2     	1/2     	4/4    	4    	1    	V/V      	a        	III     	     	V/V      	V      	    	       	       	V           	       	         	M         	1                 	0                	2, 6, 3    	           	2   	2
123	123	0       	0       	4/4    	4    	1    	V6       	a        	III     	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	0                	5, 2, 1    	           	1   	5
123	123	1/2     	1/2     	4/4    	4    	1    	I        	a        	III     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1    	           	0   	0
124	124	0       	0       	4/4    	4    	1    	vi       	a        	III     	     	vi       	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4    	           	3   	3
125	125	0       	0       	4/4    	4    	1    	V6(4)    	a        	III     	     	V6(4)    	V      	    	6      	4      	            	       	         	M         	1                 	0                	0, 2, 1    	           	1   	0
125	125	1/2     	1/2     	4/4    	4    	1    	V6       	a        	III     	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	0                	5, 2, 1    	           	1   	5
126	126	0       	0       	3/1    	4    	1    	i\\      	a        	III     	     	i        	i      	    	       	       	            	       	\\       	m         	1                 	0                	0, -3, 1   	           	0   	0
126	126	1       	1       	3/1    	4    	1    	VII6     	a        	III     	     	VII6     	VII    	    	6      	       	            	       	         	M         	1                 	0                	9, 6, 5    	           	5   	9
126	126	2       	2       	3/1    	4    	1    	i6       	a        	III     	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	0                	-3, 1, 0   	           	0   	-3
127	127	0       	0       	3/1    	4    	1    	VII6     	a        	III     	     	VII6     	VII    	    	6      	       	            	       	         	M         	1                 	0                	9, 6, 5    	           	5   	9
127	127	1       	1       	3/1    	4    	1    	i6       	a        	III     	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	0                	-3, 1, 0   	           	0   	-3
127	127	2       	2       	3/1    	4    	1    	iio6     	a        	III     	     	iio6     	ii     	o   	6      	       	            	       	         	o         	1                 	0                	-1, -4, 2  	           	2   	-1
128	128	0       	0       	3/1    	4    	1    	i6       	a        	III     	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	0                	-3, 1, 0   	           	0   	-3
128	128	1       	1       	3/1    	4    	1    	iio6     	a        	III     	     	iio6     	ii     	o   	6      	       	            	       	         	o         	1                 	0                	-1, -4, 2  	           	2   	-1
128	128	2       	2       	3/1    	4    	1    	III6     	a        	III     	     	III6     	III    	    	6      	       	            	       	         	M         	1                 	0                	8, 5, 4    	           	4   	8
129	129	0       	0       	3/1    	4    	1    	iio6     	a        	III     	     	iio6     	ii     	o   	6      	       	            	       	         	o         	1                 	0                	-1, -4, 2  	           	2   	-1
129	129	1       	1       	3/1    	4    	1    	III6     	a        	III     	     	III6     	III    	    	6      	       	            	       	         	M         	1                 	0                	8, 5, 4    	           	4   	8
129	129	2       	2       	3/1    	4    	1    	iv6      	a        	III     	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	0                	-4, 0, -1  	           	-1  	-4
130	130	0       	0       	3/1    	4    	1    	III6     	a        	III     	     	III6     	III    	    	6      	       	            	       	         	M         	1                 	0                	8, 5, 4    	           	4   	8
130	130	1       	1       	3/1    	4    	1    	iv6      	a        	III     	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	0                	-4, 0, -1  	           	-1  	-4
130	130	2       	2       	3/1    	4    	1    	v6       	a        	III     	     	v6       	v      	    	6      	       	            	       	         	m         	1                 	0                	-2, 2, 1   	           	1   	-2
131	131	0       	0       	3/1    	4    	1    	iv6      	a        	III     	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	0                	-4, 0, -1  	           	-1  	-4
131	131	1       	1       	3/1    	4    	1    	v6       	a        	III     	     	v6       	v      	    	6      	       	            	       	         	m         	1                 	0                	-2, 2, 1   	           	1   	-2
131	131	2       	2       	3/1    	4    	1    	VI6      	a        	III     	     	VI6      	VI     	    	6      	       	            	       	         	M         	1                 	0                	7, 4, 3    	           	3   	7
132	132	0       	0       	3/1    	4    	1    	V6(4)    	a        	III     	     	V6(4)    	V      	    	6      	4      	            	       	         	M         	1                 	0                	0, 2, 1    	           	1   	0
132	132	3/4     	3/4     	3/1    	4    	1    	V6       	a        	III     	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	0                	5, 2, 1    	           	1   	5
132	132	1       	1       	3/1    	4    	1    	i\\      	a        	III     	     	i        	i      	    	       	       	            	       	\\       	m         	1                 	0                	0, -3, 1   	           	0   	0
133	133	0       	0       	4/4    	4    	1    	I        	a        	III     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1    	           	0   	0
133	133	1/2     	1/2     	4/4    	4    	1    	V6/VII   	a        	III     	     	V6/VII   	V      	    	6      	       	VII         	       	         	M         	1                 	0                	10, 7, 6   	           	6   	10
134	134	0       	0       	4/4    	4    	1    	VII      	a        	III     	     	VII      	VII    	    	       	       	            	       	         	M         	1                 	0                	5, 9, 6    	           	5   	5
134	134	1/2     	1/2     	4/4    	4    	1    	V6/VI    	a        	III     	     	V6/VI    	V      	    	6      	       	VI          	       	         	M         	1                 	0                	8, 5, 4    	           	4   	8
135	135	0       	0       	4/4    	4    	1    	VI       	a        	III     	     	VI       	VI     	    	       	       	            	       	         	M         	1                 	0                	3, 7, 4    	           	3   	3
135	135	1/2     	1/2     	4/4    	4    	1    	iv.i     	a        	iv      	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
135	135	3/4     	3/4     	4/4    	4    	1    	VI6      	a        	iv      	     	VI6      	VI     	    	6      	       	            	       	         	M         	1                 	1                	0, -3, -4  	           	-4  	0
135	135	7/8     	7/8     	4/4    	4    	1    	iv64     	a        	iv      	     	iv64     	iv     	    	64     	       	            	       	         	m         	1                 	1                	0, -1, -4  	           	-1  	0
136	136	0       	0       	4/4    	4    	1    	V6(4)    	a        	iv      	     	V6(4)    	V      	    	6      	4      	            	       	         	M         	1                 	1                	0, 2, 1    	           	1   	0
136	136	1/2     	1/2     	4/4    	4    	1    	V6       	a        	iv      	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1    	           	1   	5
137	137	0       	0       	3/1    	4    	1    	i\\      	a        	iv      	     	i        	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1   	           	0   	0
137	137	1       	1       	3/1    	4    	1    	i.III6   	a        	i       	     	III6     	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3  	           	-3  	1
137	137	2       	2       	3/1    	4    	1    	iv6      	a        	i       	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1  	           	-1  	-4
138	138	0       	0       	3/1    	4    	1    	III6     	a        	i       	     	III6     	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3  	           	-3  	1
138	138	1       	1       	3/1    	4    	1    	iv6      	a        	i       	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1  	           	-1  	-4
138	138	2       	2       	3/1    	4    	1    	v6       	a        	i       	     	v6       	v      	    	6      	       	            	       	         	m         	1                 	1                	-2, 2, 1   	           	1   	-2
139	139	0       	0       	3/1    	4    	1    	iv6      	a        	i       	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1  	           	-1  	-4
139	139	1       	1       	3/1    	4    	1    	v6       	a        	i       	     	v6       	v      	    	6      	       	            	       	         	m         	1                 	1                	-2, 2, 1   	           	1   	-2
139	139	2       	2       	3/1    	4    	1    	VI6      	a        	i       	     	VI6      	VI     	    	6      	       	            	       	         	M         	1                 	1                	0, -3, -4  	           	-4  	0
140	140	0       	0       	3/1    	4    	1    	v6       	a        	i       	     	v6       	v      	    	6      	       	            	       	         	m         	1                 	1                	-2, 2, 1   	           	1   	-2
140	140	1       	1       	3/1    	4    	1    	VI6      	a        	i       	     	VI6      	VI     	    	6      	       	            	       	         	M         	1                 	1                	0, -3, -4  	           	-4  	0
140	140	2       	2       	3/1    	4    	1    	VII6     	a        	i       	     	VII6     	VII    	    	6      	       	            	       	         	M         	1                 	1                	2, -1, -2  	           	-2  	2
141	141	0       	0       	3/1    	4    	1    	VI6      	a        	i       	     	VI6      	VI     	    	6      	       	            	       	         	M         	1                 	1                	0, -3, -4  	           	-4  	0
141	141	1       	1       	3/1    	4    	1    	VII6     	a        	i       	     	VII6     	VII    	    	6      	       	            	       	         	M         	1                 	1                	2, -1, -2  	           	-2  	2
141	141	2       	2       	3/1    	4    	1    	i6       	a        	i       	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0   	           	0   	-3
142	142	0       	0       	3/1    	4    	1    	#viio6(2)	a        	i       	     	#viio6(2)	#vii   	o   	6      	2      	            	       	         	o         	1                 	1                	2, -1, 0   	           	5   	2
142	142	3/2     	3/2     	3/1    	4    	1    	#viio6   	a        	i       	     	#viio6   	#vii   	o   	6      	       	            	       	         	o         	1                 	1                	2, -1, 5   	           	5   	2
