mc	mn	mc_onset	mn_onset	timesig	staff	voice	label   	alt_label	globalkey	localkey	pedal	chord   	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones    	added_tones	root	bass_note
31	31	0       	0       	4/4    	5    	1    	I\\     	         	d        	III     	     	I       	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1        	           	0   	0
31	31	5/8     	5/8     	4/4    	5    	1    	i.i     	         	d        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
32	32	0       	0       	4/4    	5    	1    	V6      	         	d        	i       	     	V6      	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1        	           	1   	5
32	32	1/4     	1/4     	4/4    	5    	1    	I       	         	d        	i       	     	I       	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1        	           	0   	0
32	32	1/2     	1/2     	4/4    	5    	1    	iv      	         	d        	i       	     	iv      	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0      	           	-1  	-1
33	33	0       	0       	4/4    	5    	1    	I\\     	         	d        	i       	     	I       	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1        	           	0   	0
33	33	1/2     	1/2     	4/4    	5    	1    	i       	         	d        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
34	34	1/4     	1/4     	4/4    	5    	1    	v6      	         	d        	i       	     	v6      	v      	    	6      	       	            	       	         	m         	1                 	1                	-2, 2, 1       	           	1   	-2
34	34	1/2     	1/2     	4/4    	5    	1    	v       	         	d        	i       	     	v       	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2       	           	1   	1
35	35	0       	0       	4/4    	5    	1    	VII     	         	d        	i       	     	VII     	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1      	           	-2  	-2
36	36	0       	0       	4/4    	5    	1    	IV      	         	d        	i       	     	IV      	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0       	           	-1  	-1
37	37	0       	0       	4/4    	5    	1    	i       	         	d        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
38	38	0       	0       	4/4    	5    	1    	v       	         	d        	i       	     	v       	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2       	           	1   	1
38	38	1/2     	1/2     	4/4    	5    	1    	VII     	         	d        	i       	     	VII     	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1      	           	-2  	-2
39	39	0       	0       	4/4    	5    	1    	ii      	VII6     	d        	i       	     	ii      	ii     	    	       	       	            	       	         	m         	1                 	1                	2, -1, 3       	           	2   	2
39	39	1/2     	1/2     	4/4    	5    	1    	IV      	         	d        	i       	     	IV      	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0       	           	-1  	-1
40	40	0       	0       	4/4    	5    	1    	i       	         	d        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
41	41	0       	0       	4/4    	5    	1    	v       	         	d        	i       	     	v       	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2       	           	1   	1
41	41	1/2     	1/2     	4/4    	5    	1    	VII     	v6       	d        	i       	     	VII     	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1      	           	-2  	-2
42	42	0       	0       	4/4    	5    	1    	VII     	         	d        	i       	     	VII     	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1      	           	-2  	-2
42	42	1/2     	1/2     	4/4    	5    	1    	iv      	         	d        	i       	     	iv      	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0      	           	-1  	-1
43	43	0       	0       	4/4    	5    	1    	VI      	         	d        	i       	     	VI      	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3      	           	-4  	-4
43	43	1/2     	1/2     	4/4    	5    	1    	i       	VI6      	d        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
44	44	0       	0       	4/4    	5    	1    	III     	         	d        	i       	     	III     	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2      	           	-3  	-3
44	44	1/2     	1/2     	4/4    	5    	1    	III6    	         	d        	i       	     	III6    	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3      	           	-3  	1
45	45	0       	0       	4/4    	5    	1    	V       	         	d        	i       	     	V       	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2        	           	1   	1
45	45	1/4     	1/4     	4/4    	5    	1    	ii65(+4)	         	d        	i       	     	ii65(+4)	ii     	    	65     	+4     	            	       	         	mm7       	1                 	1                	-1, 3, 0, 2    	1          	2   	-1
45	45	1/2     	1/2     	4/4    	5    	1    	V(4)    	         	d        	i       	     	V(4)    	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2        	           	1   	1
45	45	3/4     	3/4     	4/4    	5    	1    	V       	         	d        	i       	     	V       	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2        	           	1   	1
46	46	0       	0       	4/4    	5    	1    	I\\     	         	d        	i       	     	I       	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1        	           	0   	0
47	47	0       	0       	4/4    	5    	1    	i       	         	d        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
48	48	1/2     	1/2     	4/4    	5    	1    	V6      	         	d        	i       	     	V6      	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1        	           	1   	5
49	49	0       	0       	4/4    	5    	1    	i       	         	d        	i       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
49	49	1/4     	1/4     	4/4    	5    	1    	ii      	         	d        	i       	     	ii      	ii     	    	       	       	            	       	         	m         	1                 	1                	2, -1, 3       	           	2   	2
49	49	1/2     	1/2     	4/4    	5    	1    	III     	         	d        	i       	     	III     	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2      	           	-3  	-3
49	49	3/4     	3/4     	4/4    	5    	1    	IV      	         	d        	i       	     	IV      	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0       	           	-1  	-1
50	50	0       	0       	4/4    	5    	1    	v.i     	         	d        	v       	     	i       	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1       	           	0   	0
50	50	1/4     	1/4     	4/4    	5    	1    	iio     	         	d        	v       	     	iio     	ii     	o   	       	       	            	       	         	o         	1                 	1                	2, -1, -4      	           	2   	2
50	50	1/2     	1/2     	4/4    	5    	1    	III     	         	d        	v       	     	III     	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2      	           	-3  	-3
51	51	0       	0       	4/4    	5    	1    	V       	         	d        	v       	     	V       	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2        	           	1   	1
