mc	mn	mc_onset	mn_onset	timesig	staff	voice	label      	alt_label	globalkey	localkey	pedal	chord  	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones 	added_tones	root	bass_note
52	52	0       	0       	4/4    	5    	1    	iv[I       	         	d        	i       	iv   	I      	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1     	           	0   	0
52	52	1/2     	1/2     	4/4    	5    	1    	iio6]      	         	d        	i       	iv   	iio6   	ii     	o   	6      	       	            	       	         	o         	1                 	1                	-1, -4, 2   	           	2   	-1
53	53	0       	0       	4/4    	5    	1    	I\\        	         	d        	i       	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1     	           	0   	0
53	53	1/4     	1/4     	4/4    	5    	1    	iv.V       	         	d        	iv      	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
54	54	1/4     	1/4     	4/4    	5    	1    	I          	         	d        	iv      	     	I      	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1     	           	0   	0
55	55	0       	0       	4/4    	5    	1    	iv[I       	         	d        	iv      	iv   	I      	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1     	           	0   	0
55	55	1/2     	1/2     	4/4    	5    	1    	iio6]      	         	d        	iv      	iv   	iio6   	ii     	o   	6      	       	            	       	         	o         	1                 	1                	-1, -4, 2   	           	2   	-1
56	56	0       	0       	4/4    	5    	1    	i[I\\      	         	d        	iv      	i    	I      	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1     	           	0   	0
56	56	1/4     	1/4     	4/4    	5    	1    	V          	         	d        	iv      	i    	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
56	56	1/2     	1/2     	4/4    	5    	1    	i          	         	d        	iv      	i    	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
56	56	3/4     	3/4     	4/4    	5    	1    	V7         	         	d        	iv      	i    	V7     	V      	    	7      	       	            	       	         	Mm7       	1                 	1                	1, 5, 2, -1 	           	1   	1
57	57	0       	0       	4/4    	5    	1    	i          	         	d        	iv      	i    	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
57	57	3/4     	3/4     	4/4    	5    	1    	III6       	         	d        	iv      	i    	III6   	III    	    	6      	       	            	       	         	M         	1                 	1                	1, -2, -3   	           	-3  	1
