mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
50	50	0	0	3/4	2	1		VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
51	51	0	0	3/4	2	1		VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
51	51	1/8	1/8	3/4	2	1		iio		a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
51	51	1/4	1/4	3/4	2	1		III(+4)		a	i		III(+4)	III			+4				M	1	1	-3, 1, -2	-4	-3	-3
51	51	3/8	3/8	3/4	2	1		V43/III		a	i		V43/III	V		43		III			Mm7	1	1	-1, -4, -2, 2		-2	-1
51	51	1/2	1/2	3/4	2	1		iio		a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
51	51	5/8	5/8	3/4	2	1		i7	V64/VI	a	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
52	52	0	0	3/4	2	1		VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
53	53	0	0	3/4	2	1		VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
53	53	1/8	1/8	3/4	2	1		iio		a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
53	53	1/4	1/4	3/4	2	1		III(+4)		a	i		III(+4)	III			+4				M	1	1	-3, 1, -2	-4	-3	-3
53	53	3/8	3/8	3/4	2	1		V43/III		a	i		V43/III	V		43		III			Mm7	1	1	-1, -4, -2, 2		-2	-1
53	53	1/2	1/2	3/4	2	1		iv64		a	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
53	53	5/8	5/8	3/4	2	1		VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
54	54	0	0	3/4	2	1		bV		a	i		bV	bV							M	1	1	-6, -2, -5		-6	-6
55	55	0	0	3/4	2	1		bV6		a	i		bV6	bV		6					M	1	1	-2, -5, -6		-6	-2
55	55	1/8	1/8	3/4	2	1		io		a	i		io	i	o						o	1	1	0, -3, -6		0	0
55	55	1/4	1/4	3/4	2	1		bII(+4)		a	i		bII(+4)	bII			+4				M	1	1	-5, -1, -4	1	-5	-5
55	55	3/8	3/8	3/4	2	1		V43/bII		a	i		V43/bII	V		43		bII			Mm7	1	1	-3, -6, -4, 0		-4	-3
55	55	1/2	1/2	3/4	2	1		io		a	i		io	i	o						o	1	1	0, -3, -6		0	0
55	55	5/8	5/8	3/4	2	1		vii7	V64/bV	a	i		vii7	vii		7					mm7	1	1	-2, -5, -1, -4		-2	-2
56	56	0	0	3/4	2	1		bV		a	i		bV	bV							M	1	1	-6, -2, -5		-6	-6
57	57	0	0	3/4	2	1		bV6		a	i		bV6	bV		6					M	1	1	-2, -5, -6		-6	-2
57	57	1/8	1/8	3/4	2	1		io		a	i		io	i	o						o	1	1	0, -3, -6		0	0
57	57	1/4	1/4	3/4	2	1		bII(+4)		a	i		bII(+4)	bII			+4				M	1	1	-5, -1, -4	1	-5	-5
57	57	3/8	3/8	3/4	2	1		V43/bII		a	i		V43/bII	V		43		bII			Mm7	1	1	-3, -6, -4, 0		-4	-3
57	57	1/2	1/2	3/4	2	1		io		a	i		io	i	o						o	1	1	0, -3, -6		0	0
57	57	5/8	5/8	3/4	2	1		iii		a	i		iii	iii							m	1	1	-3, -6, -2		-3	-3
58	58	0	0	3/4	2	1		V/vii		a	i		V/vii	V				vii			M	1	1	-1, 3, 0		-1	-1
58	58	3/16	3/16	3/4	2	1		ii%7/vii		a	i		ii%7/vii	ii	%	7		vii			%7	1	1	0, -3, -6, -2		0	0
58	58	1/4	1/4	3/4	2	1		V/vii		a	i		V/vii	V				vii			M	1	1	-1, 3, 0		-1	-1
58	58	7/16	7/16	3/4	2	1		ii%7/vii		a	i		ii%7/vii	ii	%	7		vii			%7	1	1	0, -3, -6, -2		0	0
58	58	1/2	1/2	3/4	2	1		V/vii		a	i		V/vii	V				vii			M	1	1	-1, 3, 0		-1	-1
58	58	5/8	5/8	3/4	2	1		#viio7/vii		a	i		#viio7/vii	#vii	o	7		vii			o7	1	1	3, 0, -3, -6		3	3
59	59	0	0	3/4	2	1		vii		a	i		vii	vii							m	1	1	-2, -5, -1		-2	-2
59	59	1/8	1/8	3/4	2	1		IV64		a	i		IV64	IV		64					M	1	1	0, -1, 3		-1	0
59	59	1/4	1/4	3/4	2	1		vii6(+6)		a	i		vii6(+6)	vii		6	+6				m	1	1	-5, -1, -2	1	-2	-5
59	59	1/2	1/2	3/4	2	1		V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
60	60	0	0	3/4	2	1		IV		a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
60	60	1/8	1/8	3/4	2	1		V7/VII		a	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
60	60	1/4	1/4	3/4	2	1		V7(+2)/VII		a	i		V7(+2)/VII	V		7	+2	VII			Mm7	1	1	-1, 3, 0, -3	1	-1	-1
60	60	1/2	1/2	3/4	2	1		VII		a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
60	60	5/8	5/8	3/4	2	1		V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
61	61	0	0	3/4	2	1		ii(+4+#2)/iv		a	i		ii(+4+#2)/iv	ii			+4+#2	iv			m	1	1	1, -2, 2	0, 3	1	1
61	61	1/4	1/4	3/4	2	1		ii/iv		a	i		ii/iv	ii				iv			m	1	1	1, -2, 2		1	1
61	61	1/2	1/2	3/4	2	1		V7(+2)/iv		a	i		V7(+2)/iv	V		7	+2	iv			Mm7	1	1	0, 4, 1, -2	-5	0	0
61	61	5/8	5/8	3/4	2	1		V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
62	62	0	0	3/4	2	1		IV		a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
62	62	3/16	3/16	3/4	2	1		i%7		a	i		i%7	i	%	7					%7	1	1	0, -3, -6, -2		0	0
62	62	1/4	1/4	3/4	2	1		IV		a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
62	62	7/16	7/16	3/4	2	1		i%7		a	i		i%7	i	%	7					%7	1	1	0, -3, -6, -2		0	0
62	62	1/2	1/2	3/4	2	1		IV		a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
62	62	5/8	5/8	3/4	2	1		viio7/VII		a	i		viio7/VII	vii	o	7		VII			o7	1	1	3, 0, -3, -6		3	3
63	63	0	0	3/4	2	1		VII		a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
63	63	1/8	1/8	3/4	2	1		IV64		a	i		IV64	IV		64					M	1	1	0, -1, 3		-1	0
63	63	1/4	1/4	3/4	2	1		VII6(+6)		a	i		VII6(+6)	VII		6	+6				M	1	1	2, -1, -2	1	-2	2
63	63	3/8	3/8	3/4	2	1		#vii%7/iv		a	i		#vii%7/iv	#vii	%	7		iv			%7	1	1	4, 1, -2, 2		4	4
63	63	1/2	1/2	3/4	2	1		IVM7		a	i		IVM7	IV	M	7					MM7	1	1	-1, 3, 0, 4		-1	-1
63	63	5/8	5/8	3/4	2	1		v		a	i		v	v							m	1	1	1, -2, 2		1	1
64	64	0	0	3/4	2	1		#VI		a	i		#VI	#VI							M	1	1	3, 7, 4		3	3
64	64	1/8	1/8	3/4	2	1		VIIM7		a	i		VIIM7	VII	M	7					MM7	1	1	-2, 2, -1, 3		-2	-2
64	64	1/4	1/4	3/4	2	1		V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
64	64	3/8	3/8	3/4	2	1		ii		a	i		ii	ii							m	1	1	2, -1, 3		2	2
64	64	1/2	1/2	3/4	2	1		V65/iv		a	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
65	65	0	0	3/4	2	1		IV		a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
65	65	3/16	3/16	3/4	2	1		i%7		a	i		i%7	i	%	7					%7	1	1	0, -3, -6, -2		0	0
65	65	1/4	1/4	3/4	2	1		IV		a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
65	65	7/16	7/16	3/4	2	1		i%7		a	i		i%7	i	%	7					%7	1	1	0, -3, -6, -2		0	0
65	65	1/2	1/2	3/4	2	1		IV		a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
65	65	5/8	5/8	3/4	2	1		#viio7/vii		a	i		#viio7/vii	#vii	o	7		vii			o7	1	1	3, 0, -3, -6		3	3
66	66	0	0	3/4	2	1		vii		a	i		vii	vii							m	1	1	-2, -5, -1		-2	-2
66	66	1/8	1/8	3/4	2	1		IV64		a	i		IV64	IV		64					M	1	1	0, -1, 3		-1	0
66	66	1/4	1/4	3/4	2	1		vii6(+6)		a	i		vii6(+6)	vii		6	+6				m	1	1	-5, -1, -2	1	-2	-5
66	66	1/2	1/2	3/4	2	1		#viio7/iv		a	i		#viio7/iv	#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
67	67	0	0	3/4	2	1		IV		a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
67	67	1/4	1/4	3/4	2	1		V43/VII		a	i		V43/VII	V		43		VII			Mm7	1	1	0, -3, -1, 3		-1	0
67	67	1/2	1/2	3/4	2	1		VII		a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
68	68	0	0	3/4	2	1		V7(#62)/iv		a	i		V7(#62)/iv	V		7	#62	iv			Mm7	1	1	-5, 4, 1, 3		0	-5
68	68	1/4	1/4	3/4	2	1		V7(2)/iv		a	i		V7(2)/iv	V		7	2	iv			Mm7	1	1	-5, 4, 1, -2		0	-5
68	68	5/8	5/8	3/4	2	1		V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
69	69	0	0	3/4	2	1		#vii%7		a	i		#vii%7	#vii	%	7					%7	1	1	5, 2, -1, 3		5	5
69	69	1/4	1/4	3/4	2	1		IM7		a	i		IM7	I	M	7					MM7	1	1	0, 4, 1, 5		0	0
69	69	3/8	3/8	3/4	2	1		ii		a	i		ii	ii							m	1	1	2, -1, 3		2	2
69	69	1/2	1/2	3/4	2	1		V7/#VI		a	i		V7/#VI	V		7		#VI			Mm7	1	1	4, 8, 5, 2		4	4
69	69	5/8	5/8	3/4	2	1		V65/#VI		a	i		V65/#VI	V		65		#VI			Mm7	1	1	8, 5, 2, 4		4	8
70	70	0	0	3/4	2	1		#vii%2		a	i		#vii%2	#vii	%	2					%7	1	1	3, 5, 2, -1		5	3
70	70	1/4	1/4	3/4	2	1		#vii%7		a	i		#vii%7	#vii	%	7					%7	1	1	5, 2, -1, 3		5	5
70	70	3/8	3/8	3/4	2	1		V65		a	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
70	70	1/2	1/2	3/4	2	1		i(+4+2)		a	i		i(+4+2)	i			+4+2				m	1	1	0, -3, 1	-1, 2	0	0
70	70	5/8	5/8	3/4	2	1		ii%2		a	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
71	71	0	0	3/4	2	1		#vii%65		a	i		#vii%65	#vii	%	65					%7	1	1	2, -1, 3, 5		5	2
71	71	1/4	1/4	3/4	2	1		#iii		a	i		#iii	#iii							m	1	1	4, 1, 5		4	4
71	71	3/8	3/8	3/4	2	1		#viio64		a	i		#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
71	71	1/2	1/2	3/4	2	1		#iii65		a	i		#iii65	#iii		65					mm7	1	1	1, 5, 2, 4		4	1
71	71	5/8	5/8	3/4	2	1		V65/#VI		a	i		V65/#VI	V		65		#VI			Mm7	1	1	8, 5, 2, 4		4	8
72	72	0	0	3/4	2	1		#vii%2		a	i		#vii%2	#vii	%	2					%7	1	1	3, 5, 2, -1		5	3
73	73	0	0	3/4	2	1		bV64|EC		a	i		bV64	bV		64			EC		M	1	1	-5, -6, -2		-6	-5
73	73	1/4	1/4	3/4	2	1		bV6		a	i		bV6	bV		6					M	1	1	-2, -5, -6		-6	-2
73	73	1/2	1/2	3/4	2	1		bV64		a	i		bV64	bV		64					M	1	1	-5, -6, -2		-6	-5
74	74	1/4	1/4	3/4	2	1		bV6		a	i		bV6	bV		6					M	1	1	-2, -5, -6		-6	-2
74	74	1/2	1/2	3/4	2	1		bV64		a	i		bV64	bV		64					M	1	1	-5, -6, -2		-6	-5
75	75	1/4	1/4	3/4	2	1		iii6		a	i		iii6	iii		6					m	1	1	-6, -2, -3		-3	-6
75	75	1/2	1/2	3/4	2	1		iii		a	i		iii	iii							m	1	1	-3, -6, -2		-3	-3
76	76	0	0	3/4	2	1		bII	vii6	a	i		bII	bII							M	1	1	-5, -1, -4		-5	-5
76	76	1/4	1/4	3/4	2	1		vii64		a	i		vii64	vii		64					m	1	1	-1, -2, -5		-2	-1
76	76	1/2	1/2	3/4	2	1		vii6		a	i		vii6	vii		6					m	1	1	-5, -1, -2		-2	-5
77	77	0	0	3/4	2	1		V43/bI		a	i		V43/bI	V		43		bI			Mm7	1	1	-5, -8, -6, -2		-6	-5
77	77	1/4	1/4	3/4	2	1		V7/bV		a	i		V7/bV	V		7		bV			Mm7	1	1	-5, -1, -4, -7		-5	-5
77	77	1/2	1/2	3/4	2	1		bIV6		a	i		bIV6	bIV		6					M	1	1	-4, -7, -8		-8	-4
