mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
10	10	0	0	9/8	2	1		ii65(2)	Db	I		ii65(2)	ii		65	2				mm7	0	0	-1, 3, 0, 4		2	-1
10	10	3/8	3/8	9/8	2	1		ii65	Db	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
11	11	0	0	9/8	2	1		I6(2)	Db	I		I6(2)	I		6	2				M	0	0	4, 1, 2		0	4
11	11	3/8	3/8	9/8	2	1		I6	Db	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	12	0	0	9/8	2	1		ii65(2)	Db	I		ii65(2)	ii		65	2				mm7	0	0	-1, 3, 0, 4		2	-1
12	12	3/8	3/8	9/8	2	1		ii65	Db	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
13	13	0	0	9/8	2	1		V43/IV	Db	I		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
13	13	3/8	3/8	9/8	2	1		V43(6)/IV	Db	I		V43(6)/IV	V		43	6	IV			Mm7	0	0	3, -2, 0, 4		0	3
13	13	9/16	9/16	9/8	2	1		V43/IV	Db	I		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
14	14	0	0	9/8	2	1		vi(4)	Db	I		vi(4)	vi			4				m	0	0	3, 2, 4		3	3
14	14	9/16	9/16	9/8	2	1		vi	Db	I		vi	vi							m	0	0	3, 0, 4		3	3
15	15	0	0	9/8	2	1		ii(2)	Db	I		ii(2)	ii			2				m	0	0	4, -1, 3		2	4
15	15	1/2	1/2	9/8	2	1		ii	Db	I		ii	ii							m	0	0	2, -1, 3		2	2
15	15	7/8	7/8	9/8	2	1		ii7	Db	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
16	16	1/8	1/8	9/8	2	1		IV(4)	Db	I		IV(4)	IV			4				M	0	0	-1, 5, 0		-1	-1
16	16	9/16	9/16	9/8	2	1		IV64	Db	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
16	16	3/4	3/4	9/8	2	1		IV6	Db	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
17	17	0	0	9/8	2	1		ii(2)	Db	I		ii(2)	ii			2				m	0	0	4, -1, 3		2	4
17	17	3/4	3/4	9/8	2	1		ii	Db	I		ii	ii							m	0	0	2, -1, 3		2	2
18	18	0	0	9/8	2	1		IV64	Db	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
