mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
113	113	0	0	4/4	2	1		VI64	f#	i		VI64		VI		64					M	1	1	-3, -4, 0		-4	-3
113	113	1/2	1/2	4/4	2	1		iv	f#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
114	114	0	0	4/4	2	1		i6	f#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
114	114	1/2	1/2	4/4	2	1		V6/III	f#	i		V6/III		V		6		III			M	1	1	2, -1, -2		-2	2
115	115	0	0	4/4	2	1		V/III	f#	i		V/III		V				III			M	1	1	-2, 2, -1		-2	-2
115	115	1/2	1/2	4/4	2	1		V43(2)/III	f#	i		V43(2)/III		V		43	2	III			Mm7	1	1	-1, -4, 0, 2		-2	-1
115	115	3/4	3/4	4/4	2	1		V43/III	f#	i		V43/III		V		43		III			Mm7	1	1	-1, -4, -2, 2		-2	-1
116	116	0	0	4/4	2	1		III	f#	i		III		III							M	1	1	-3, 1, -2		-3	-3
116	116	1/2	1/2	4/4	2	1		VI	f#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
117	117	0	0	4/4	2	1		V65/V	f#	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
118	118	1/2	1/2	4/4	2	1		i43	f#	i		i43		i		43					mm7	1	1	1, -2, 0, -3		0	1
119	119	0	0	4/4	2	1		V65/V	f#	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
119	119	1/2	1/2	4/4	2	1		V43(+2)/III	f#	i		V43(+2)/III		V		43	+2	III			Mm7	1	1	-1, -4, -2, 2	0	-2	-1
120	120	0	0	4/4	2	1		III	f#	i		III		III							M	1	1	-3, 1, -2		-3	-3
120	120	1/2	1/2	4/4	2	1		V43/VII	f#	i		V43/VII		V		43		VII			Mm7	1	1	0, -3, -1, 3		-1	0
121	121	0	0	4/4	2	1		V	f#	i		V		V							M	1	1	1, 5, 2		1	1
122	122	1/2	1/2	4/4	2	1		V65(+2)/VI	f#	i		V65(+2)/VI		V		65	+2	VI			Mm7	1	1	1, -2, -5, -3	-1	-3	1
123	123	0	0	4/4	2	1		V	f#	i		V		V							M	1	1	1, 5, 2		1	1
124	124	1/2	1/2	4/4	2	1		V65(+2)/VI	f#	i		V65(+2)/VI		V		65	+2	VI			Mm7	1	1	1, -2, -5, -3	-1	-3	1
125	125	0	0	4/4	2	1		VI	f#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
126	126	0	0	4/4	2	1		vii%43/III	f#	i		vii%43/III		vii	%	43		III			%7	1	1	-4, 0, 2, -1		2	-4
127	127	0	0	4/4	2	1		VI	f#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
128	128	0	0	4/4	2	1		vii%43/III	f#	i		vii%43/III		vii	%	43		III			%7	1	1	-4, 0, 2, -1		2	-4
129	129	0	0	4/4	2	1		VI	f#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
130	130	0	0	4/4	2	1		vii%43/III	f#	i		vii%43/III		vii	%	43		III			%7	1	1	-4, 0, 2, -1		2	-4
131	131	0	0	4/4	2	1		VI	f#	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
131	131	3/4	3/4	4/4	2	1		VI(7)	f#	i		VI(7)		VI			7				M	1	1	-4, 0, -3	1	-4	-4
132	132	0	0	4/4	2	1		V7(+2)/III	f#	i		V7(+2)/III		V		7	+2	III			Mm7	1	1	-2, 2, -1, -4	0	-2	-2
132	132	1/2	1/2	4/4	2	1		V65(+2)/III	f#	i		V65(+2)/III		V		65	+2	III			Mm7	1	1	2, -1, -4, -2	0	-2	2
133	133	0	0	4/4	2	1		V43(+2)/III	f#	i		V43(+2)/III		V		43	+2	III			Mm7	1	1	-1, -4, -2, 2	0	-2	-1
134	134	0	0	4/4	2	1		iv64	f#	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
134	134	1/2	1/2	4/4	2	1		vii%2/III	f#	i		vii%2/III		vii	%	2		III			%7	1	1	0, 2, -1, -4		2	0
135	135	0	0	4/4	2	1		iv64	f#	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
135	135	1/2	1/2	4/4	2	1		V7/III	f#	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
136	136	0	0	4/4	2	1		iv64	f#	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
136	136	1/2	1/2	4/4	2	1		vii%2/III	f#	i		vii%2/III		vii	%	2		III			%7	1	1	0, 2, -1, -4		2	0
137	137	0	0	4/4	2	1		iv64	f#	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
137	137	1/2	1/2	4/4	2	1		V7/III	f#	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
138	138	0	0	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
138	138	1/2	1/2	4/4	2	1		Ger6/V	f#	i		Ger6/V	Ger	vii	o	65	b3	V/V			Ger	1	1	-3, 1, -2, 7		7	-3
139	139	0	0	4/4	2	1		i43	f#	i		i43		i		43					mm7	1	1	1, -2, 0, -3		0	1
139	139	1/2	1/2	4/4	2	1		V7/VII	f#	i		V7/VII		V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
140	140	0	0	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
140	140	1/2	1/2	4/4	2	1		Ger6/V	f#	i		Ger6/V	Ger	vii	o	65	b3	V/V			Ger	1	1	-3, 1, -2, 7		7	-3
141	141	0	0	4/4	2	1		i43	f#	i		i43		i		43					mm7	1	1	1, -2, 0, -3		0	1
141	141	1/2	1/2	4/4	2	1		V7/VII	f#	i		V7/VII		V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
142	142	0	0	4/4	2	1		i43	f#	i		i43		i		43					mm7	1	1	1, -2, 0, -3		0	1
142	142	1/2	1/2	4/4	2	1		V7/VII	f#	i		V7/VII		V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
143	143	0	0	4/4	2	1		vii%43/VII	f#	i		vii%43/VII		vii	%	43		VII			%7	1	1	-3, 1, 3, 0		3	-3
143	143	1/2	1/2	4/4	2	1		vii%2/VII	f#	i		vii%2/VII		vii	%	2		VII			%7	1	1	1, 3, 0, -3		3	1
145	145	1/2	1/2	4/4	2	1		V65	f#	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
147	147	0	0	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
147	147	1/2	1/2	4/4	2	1		i64	f#	i		i64		i		64					m	1	1	1, 0, -3		0	1
148	148	0	0	4/4	2	1		IV	f#	i		IV		IV							M	1	1	-1, 3, 0		-1	-1
149	149	0	0	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
149	149	1/2	1/2	4/4	2	1		i64	f#	i		i64		i		64					m	1	1	1, 0, -3		0	1
150	150	0	0	4/4	2	1		IV	f#	i		IV		IV							M	1	1	-1, 3, 0		-1	-1
151	151	0	0	4/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
151	151	1/2	1/2	4/4	2	1		i64	f#	i		i64		i		64					m	1	1	1, 0, -3		0	1
152	152	0	0	4/4	2	1		IV	f#	i		IV		IV							M	1	1	-1, 3, 0		-1	-1
154	154	0	0	4/4	2	1		i\\	f#	i		i		i						\\	m	1	1	0, -3, 1		0	0
